id,name,Food Group,Images,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)",Serving Weight 1 (g),Serving Description 1 (g),Column1
172412,Goose Domesticated Meat And Skin Cooked Roasted,Meats,https://www.foodandwine.com/thmb/Nem6oO1U2bSkOK_8BlwebT-Qruk=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Roast-Goose-with-Crispy-Skin-FT-RECIPE0923-839dbfbf81734f0eb27b099a82c7f936.jpg,305,21.92,25.16,0,0,0,91,6.87,13,2.83,329,22,70,140,"1 cup, chopped or diced",
172414,Roast Goose,Meats,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2018/11/20/0/YK0209_Steamed-and-Fire-Roasted-Goose-with-Blood-Orange-Sauce_s4x3.jpg.rend.hgtvcom.826.620.suffix/1542724002649.webp,238,12.67,28.97,0,NULL,0,96,4.56,14,2.87,388,25,40,143,1 unit (yield from 1 lb ready-to-cook goose),
172487,Lamb Shank,Meats,https://b3067249.smushcdn.com/3067249/wp-content/uploads/2023/01/Lamb-shanks-1536x864.jpg?lossy=0&strip=1&webp=1,180,6.67,28.17,0,NULL,0,87,2.38,8,2.06,342,26,0,85,3 oz,
172544,Broiled Ground Lamb,Meats,https://amandascookin.com/wp-content/uploads/2023/02/Broiled-Lamb-Chops-S04.jpg,283,19.65,24.75,0,0,0,97,8.12,22,1.79,339,24,0,85,3 oz,
172960,Yachtwurst With Pistachio Nuts Cooked,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9r_67gbcf46gy2YkS71MnjqWHCLcJ2tktGg&s,268,22.6,14.8,1.4,0,0,64,7.9,19,1,NULL,NULL,0,56,1 serving 2 oz,
172963,Chicken Breast Oven-Roasted Fat-Free Sliced,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh_zvW2BHbjpOWHaTLxqEVK1gLbGszdY4iBA&s,79,0.39,16.79,2.17,0.1,0,36,0.13,6,0.32,67,9,0,42,1 serving 2 slices,
172967,Pate Truffle Flavor,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUF4swU_MmPvpfP7S7gGGYu-ZmNtLUm-FzxA&s,327,28.5,11.2,6.3,NULL,NULL,105,10.1,70,3.94,138,13,15000,56,1 serving 2 oz,
172968,Frankfurter Meat,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFfEOElENGYRrSuVFWtiKeh7r8E7TwxeMGsw&s,290,25.76,10.26,4.17,NULL,0,77,7.666,99,1.09,152,15,0,52,1 serving (1 hot dog),
173379,Skirt Steak,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUjFs26aEcuajQXyjQ8ZXGPmbXGkuBT6Jkbg&s,268,17.1,28.65,0,0,0,99,6.132,8,5.46,284,26,9,85,3 oz,
173611,Chicken Broilers Or Fryers Drumstick Meat And Skin Cooked Fried Flour,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_p490vKtmX0xwK6NCZOA_OcSWQeR947SEeg&s,245,13.72,26.96,1.63,NULL,0.1,90,3.66,12,1.34,229,23,84,29,1 unit (yield from 1 lb ready-to-cook chicken),
173612,Roasted Chicken Drumsticks,Meats,https://www.inspiredtaste.net/wp-content/uploads/2011/10/Baked-Rosemary-Chicken-Drumsticks-Recipe-1200.jpg,191,10.15,23.35,0,0,0,130,2.74,11,1.11,247,22,40,105,1 drumstick with skin (yield from 1 lb ready-to-cook chicken),
173613,Chicken Broilers Or Fryers Drumstick Meat And Skin Cooked Stewed,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb4U-sCYyhMjCLAwP58-9dAUoZg60UZWHDrA&s,204,10.64,25.32,0,0,0,83,2.91,11,1.33,184,20,91,140,"1 cup, chopped or diced",
173615,Chicken Broilers Or Fryers Leg Meat And Skin Cooked Fried Batter,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBLjLD5txF3un-_wZ6UQwMRErKhmAbHiEYuw&s,273,16.17,21.77,8.72,NULL,0.3,90,4.28,18,1.4,189,20,91,95,1 unit (yield from 1 lb ready-to-cook chicken),
173616,Chicken Broilers Or Fryers Leg Meat And Skin Cooked Fried Flour,Meats,https://cfdefaultstorage.blob.core.windows.net/cfimages/data/drumstick_crsipy_kfc_top_large_02.jpg,254,14.43,26.84,2.5,NULL,0.1,94,3.9,13,1.43,233,24,92,67,1 unit (yield from 1 lb ready-to-cook chicken),
173617,Roasted Chicken Leg,Meats,https://cook.me/wp-content/uploads/2019/10/Garlic-Roasted-Chicken-Leg-Quarters-Recipe-How-To-Make-Garlic-Roasted-Chicken-Leg-Quarters-Delicious-Garlic-Roasted-Chicken-Leg-Quarters-8.jpg.webp,184,8.99,24.03,0,0,0,127,2.446,12,1.09,264,23,68,85,3 oz,
173618,Chicken Broilers Or Fryers Leg Meat And Skin Cooked Stewed,Meats,https://cfdefaultstorage.blob.core.windows.net/cfimages/data/turkey_legs_top_large_01.jpg,220,12.92,24.17,0,0,0,84,3.57,11,1.35,176,20,124,140,"1 cup, chopped or diced",
173624,Chicken Broilers Or Fryers Thigh Meat And Skin Cooked Fried Flour,Meats,https://www.thekitchenmagpie.com/wp-content/uploads/images/2019/01/airfryerfriedchicken2.jpg,262,14.98,26.75,3.18,NULL,0.1,97,4.09,14,1.49,237,25,98,38,1 unit (yield from 1 lb ready-to-cook chicken),
173625,Roasted Chicken Thigh,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjr1nYlL_PVUZkFzLT4cbe6JJGSaYDV3eIGw&s,232,14.71,23.26,0,0,0,133,4.111,9,1.08,253,22,55,137,1 thigh with skin,
173626,Chicken Broilers Or Fryers Thigh Meat And Skin Cooked Stewed,Meats,https://cfdefaultstorage.blob.core.windows.net/cfimages/data/baked_chicken_thigh_top_large_07.jpg,232,14.74,23.26,0,0,0,84,4.11,11,1.37,170,19,151,41,1 unit (yield from 1 lb ready-to-cook chicken),
173635,Chicken Roasting Meat And Skin Cooked Roasted,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsIVogfl9BvkBFixLPZfoBo9_8mBsIPrSe6A&s,223,13.39,23.97,0,NULL,0,76,3.74,12,1.26,211,20,83,85,3 oz,
173637,Chicken (Light Meat),Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSULNs_2CAtwQh9o4Buo-gH7KSKUQTDWx92pg&s,153,4.07,27.13,0,0,0,75,1.08,13,1.08,236,23,25,140,"1 cup, chopped or diced",
173646,Chicken Capons Meat And Skin Cooked Roasted,Meats,https://bakeitwithlove.com/wp-content/uploads/2024/04/roast-capon-h1a.jpg,229,11.65,28.96,0,NULL,0,86,3.26,14,1.49,255,24,68,85,3 oz,
173858,Chicken Spread,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5-JOYmq3mxIGzxCtk5spv04LaEbJ51r3tzQ&s,158,17.56,18.01,4.05,0.47,0.3,56,3.23,16,0.87,106,12,99,56,1 serving (1 serving),
173860,Corned Beef Loaf Jellied,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-aHiWTyNaZItdkgkVrLF4hSQVxjomZH75jg&s,153,6.1,22.9,0,NULL,0,47,2.6,11,2.04,101,11,0,28,1 slice (1 oz) (4 inch x 4 inch x 3/32 inch thick),
173862,Frankfurter Beef Unheated,Meats,https://cfdefaultstorage.blob.core.windows.net/cfimages/data/beef_franks_top_large_06.jpg,315,28.1,11.69,2.97,1.17,0,58,11.46,14,1.12,364,11,11,50,1 frankfurter,
173868,Lebanon Bologna Beef,Meats,https://sclydeweaver.com/content/uploads/2019/08/Farm-Style-Bologna-900x545.jpg,172,10.44,19.03,0.44,0,0,55,2.794,20,2.15,330,20,39,57,1 serving 2 slices,
173874,Chicken Breast Deli Rotisserie Seasoned Sliced Prepackaged,Meats,"https://m.media-amazon.com/images/I/71UthxeObfL._AC_UF350,350_QL80_.jpg",98,1.86,17.4,2.92,0.75,0,51,0.564,11,0.39,360,26,6,12,1 slice,
173875,Frankfurter Meat And Poultry Unheated,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSsSkWlF7MTsgifDaFO6PPBzsM_7USAmcQoA&s,277,24.18,9.72,5.02,2.75,0,78,7.583,106,1.04,359,11,102,51,1 frankfurter,
174311,Leg Of Lamb,Meats,https://www.seriouseats.com/thmb/5h_e9cbwMIiH2AeH4zjDU6BK0-c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/20240131SeriousEats_SlowRoastedBonelessLegofLamb_Causey_hero-1-2fdb1e6aed554da884aa697da674ed66.jpg,230,17.07,17.91,0,NULL,0,69,7.43,9,1.66,249,23,0,28.4,1 oz,
174318,Lamb Sirloin,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSED6gU9dUX4f6nEQYvvJi9Y5bovHnfnhT8Q&s,204,9.17,28.35,0,NULL,0,92,3.28,8,2.2,333,25,0,85,3 oz,
174323,Lamb Ribs,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSomGCGpMA4hpZuKbjOVBaKpQO2SHFuac-Hg&s,359,29.82,21.12,0,NULL,0,97,12.77,22,1.6,271,20,0,85,3 oz,
174331,Lamb Shoulder Roast (Cooked),Meats,https://www.thespruceeats.com/thmb/yLC5b0OOiACPs_n_waikxubLXy0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/SES-traditional-lamb-roast-recipe-256302-hero-01-d911b5b1407842c49f4903942ad08078.jpg,279,14.08,35.54,0,NULL,0,121,5.03,26,2.7,338,29,0,85,3 oz,
174496,Chicken Skin (Drumsticks And Thighs) Cooked Roasted,Meats,https://www.jocooks.com/wp-content/uploads/2017/07/lemon-garlic-roasted-chicken-legs-1-4-480x270.jpg,462,43.99,16.57,0,0,0,132,12.146,10,0.9,181,16,181,28.4,1 oz,
174506,Chicken Broiler Rotisserie BBQ Back Meat Only,Meats,https://thekmp.com/cdn/shop/products/RotisserieChickenwithBarbecueSauce_1_600x.jpg?v=1633890169,212,13.87,21.85,0.31,0.31,0,117,3.613,33,0.82,263,18,51,85,3 oz,
174570,Roast Beef Deli Style Prepackaged Sliced,Meats,https://i0.wp.com/ilovemeat.com/wp-content/uploads/2018/01/roastbeef_web1.jpg?fit=900%2C506&ssl=1,115,3.69,18.62,0.64,0.29,0,51,1.318,5,2.05,647,20,11,9.3,1 slice oval,
174575,Pepperoni,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSajqNOMXt9vu2W1z6A9P2xig7h-4il-ZfDcw&s,504,46.28,19.25,1.18,0,0,97,17.708,19,1.33,274,18,0,85,3 oz,
174581,Poultry Salad Sandwich Spread,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP1PEq1bInHghXpTo2MwGdgvkiv_a0pb8Mkw&s,200,13.52,11.64,7.41,0,0,30,3.45,10,0.61,183,10,140,13,1 tbsp,
174597,Roast Beef Spread,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqzPXSjwDOz_Pd8clLNgz-q62Qd6DMweH_Lw&s,223,16.28,15.27,3.73,0.71,0.2,70,6.4,23,2.06,259,24,1,57,1 serving .25 cup,
174602,Bacon And Beef Sticks,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpJEPfeJV8-JU5o4eJ65zMTZ7I2XVo7P581g&s,517,44.2,29.1,0.8,0.8,0,102,16,14,1.86,385,17,0,28,1 oz,
174608,Oven-Roasted Chicken Breast Roll,Meats,https://cooksclub.com.au/wp-content/uploads/2021/06/rolled-roast-chicken-with-apricot-and-herb_ready-meal.jpg,134,7.65,14.59,1.79,0.43,0,39,2.48,6,0.32,324,17,0,56,1 serving 2 oz,
174614,Frankfurter Beef Heated,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStBIJLmV-g-g4xzVbZKvVFjJHBH9NJRiscGQ&s,322,29.36,11.69,2.66,1.27,0,58,11.593,11,1.22,252,9,0,48,1 frankfurter,
174615,Frankfurter Meat Heated,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFPdcodeSO65huGEaSt93rz5nbWR82USDbFA&s,278,24.31,9.77,4.9,NULL,0,73,7.22,99,1.22,141,15,0,52,1 serving (1 hot dog),
174703,Ribeye Steak (Filet),Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROwGxZMWFvff1iON0d69FjT8fwWebRXzx_ig&s,186,7.61,29.39,0,0,0,82,2.588,6,3.56,383,27,7,129,1 fillet,
174769,Beef Variety Meats And By-Products Tripe Cooked Simmered,Meats,https://cdn.britannica.com/96/236096-050-FF5E80E7/Bowl-of-menudo-Mexican-tripe-soup.jpg,94,4.05,11.71,1.99,0,0,157,1.357,81,0.66,42,15,0,85,1 serving,
174891,Lamb Australian Imported Fresh External Fat Cooked,Meats,https://www.caloriescalc.com/wp-content/uploads/2015/05/Plato_de_lechazo_Valladolid.jpg,538,52.3,16.9,0,0,0,81,26.8,12,1.98,207,20,NULL,85,3 oz,
781813,Ground Meat Nfs,Meats,https://www.allrecipes.com/thmb/_94Q06h7JB6Ytty_dsRCWqoRzJA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229112-ground-beef-with-homemade-taco-seasoning-ddmfs-4x3-0122-1f064d3127fa4ba5b903a91c6ca5cb1b.jpg,260,16.82,25.54,0,0,0,87,6.453,24,2.47,302,20,NULL,68,"1 small patty (3.33 oz, raw, 5 patties per lb) (yield after cooking)",
781839,Beef Steak Braised Lean Only Eaten,Meats,https://i.pinimg.com/originals/b8/99/b1/b899b1a9d558ba368a9731e40bf346d3.jpg,164,5.34,28.94,0,0,0,76,2.15,14,2.6,204,10,NULL,21,"1 oz, with bone, cooked, lean only (yield after bone removed)",
781840,Beef Oxtails Cooked,Meats,https://tse1.mm.bing.net/th?id=OIP.QZVYm2t8iyAIxt068xrtsgHaE7&pid=Api&P=0&h=180,251,13.19,30.8,0,0,0,105,5.117,13,3.65,261,23,NULL,16,"1 oz, with bone, cooked (yield after bone removed)",
781844,Beef Shortribs Cooked Lean Only Eaten,Meats,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/190417-instant-pot-short-ribs-horizontal-272-1556571871.jpg?resize=980:*,293,17.98,30.5,0,0,0,92,7.676,11,3.34,310,22,NULL,22,"1 small rib (yield after cooking, bone and fat removed)",
781847,Beef Shortribs Barbecued With Sauce Lean Only Eaten,Meats,https://gbc-cdn-public-media.azureedge.net/img69673.1426x713.jpg,269,13.42,22.68,12.74,10.39,0.3,68,5.658,18,2.65,301,20,NULL,22,"1 small rib (yield after cooking, bone and fat removed)",
781851,Beef Roast Roasted Lean Only Eaten,Meats,https://tse2.mm.bing.net/th?id=OIP.2amiQiGyHuNRF4QWrjLQsQHaE8&pid=Api&P=0&h=180,150,3.71,29.13,0,0,0,76,1.368,15,2.35,314,13,NULL,21,"1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",
781855,Beef Pot Roast Braised Or Boiled Lean Only Eaten,Meats,https://www.thespruceeats.com/thmb/J-zghswqIdMscfbx1F7F4fvXUpg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/200332379-001-56a20f2c5f9b58b7d0c620f7.jpg,251,13.19,30.8,0,0,0,105,5.117,13,3.65,261,23,NULL,21,"1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",
781858,Beef Stew Meat Cooked Lean Only Eaten,Meats,https://tse1.mm.bing.net/th?id=OIP.f3ZGWAKyA8C7Qn9IaB4g-wHaHa&pid=Api&P=0&h=180,251,13.19,30.8,0,0,0,105,5.117,13,3.65,261,23,NULL,28,"1 oz, boneless, cooked, lean only",
781865,Beef Brisket Cooked Lean Only Eaten,Meats,https://www.simplyrecipes.com/thmb/dOLtaMtPtASgfFFtg8ajQX1VLIQ=/950x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2015__04__easy-beef-brisket-horiz-a-1200-3e5b8e1bf2b64a0bafd7d36b128624f1.jpg,216,10,29.5,0,0,0,92,3.6,6,2.79,283,23,NULL,21,"1 thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")",
781866,Beef Sandwich Steak Flaked Formed Thinly Sliced,Meats,https://tse2.mm.bing.net/th?id=OIP.l3jO53Tzj_cswUwkSnkD2AHaE5&pid=Api&P=0&h=180,329,27.81,18.41,0,0,0,73,11.69,8,1.88,234,16,NULL,41,1 sandwich steak,
781868,Ground Beef Cooked,Meats,https://www.allrecipes.com/thmb/tQq1D3TigZEeysde4qL0LZ0N9D4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229112-ground-beef-with-homemade-taco-seasoning-mix-DDMFS-4x3-719013d51e844a948c0b39cccb5ed908.jpg,260,16.82,25.54,0,0,0,87,6.453,24,2.47,302,20,NULL,28,"1 oz, cooked",
781869,Ground Beef Patty Cooked,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPwizlnh0WRrEyqzaszlvgVltzXRBqEBN7MA&s,272,18.18,25.45,0,0,0,87,6.95,27,2.41,294,20,NULL,20,1 miniature patty,
781873,Beef Dried Chipped Cooked In Fat,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj3cm7CYcXCpHxCkSXZjtCYbBGk1ehizP-Vg&s,229,11.9,27.94,2.48,2.43,0,81,4.833,7,2.17,211,17,NULL,28,"1 oz, cooked",
781995,Lamb Ns As To Cut Cooked,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbxae74J2ptwjWDa-tesIYBHW6SUfTsi4jVA&s,292,20.77,24.32,0,0,0,96,8.756,17,1.87,307,23,NULL,20,"1 oz, with bone, cooked (yield after bone removed)",
781998,Lamb Chop Ns As To Cut Cooked Lean Only Eaten,Meats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM8KA_7AjxHky0fLcpOokMydlroHe89CP2BA&s,214,9.65,29.74,0,0,0,94,3.451,19,1.99,373,28,NULL,52,"1 small (4 oz, with bone, raw) (yield after cooking, bone and fat removed)",
